id,tema,pergunta,resposta_resumida,classificacao,justificativa,resposta_ideal_esperada,acao_corretiva_necessaria,latencia_ms,rota,provider,rag_linhas,rag_top_score
1,SAC e defeito,"Se um produto chegar com defeito, como funciona o SAC da Classe?","A Classe tem um SAC exclusivo e personalizado. Se o produto chegar com defeito, você envia fotos pelo canal de SAC para análise inicial. Se pelas fotos houver indício de defeito, você manda o produto para a fábrica. Confirmado o defeito, 100% do valor daquele item retorna via PIX.  Você já tem algum produto específico em mente ou quer saber mais sobre nossas condições comerciais?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"Explicar SAC exclusivo: cliente envia fotos, produto vai para fabrica se houver indicio, confirmado defeito retorna 100% do item via PIX.",,61398,rag_claude,anthropic,1,0.99
2,Reclamacao,O cliente consegue registrar reclamacao por um canal de SAC personalizado?,"Sim, a Classe possui um canal exclusivo e personalizado de SAC onde o cliente pode registrar reclamações.  Em caso de defeito, o cliente envia fotos pelo SAC para análise inicial. Se houver indício de defeito pelas fotos, o produto é enviado para a fábrica e, confirmado o defeito, 100% do valor daquele item retorna via PIX.  Você tem algum produto específico que precisa verificar ou quer saber mais sobre nossos processos?",PARCIALMENTE_UTIL,Faltou parte do criterio esperado: 3/4 termos.,"Sim, a Classe possui SAC exclusivo e personalizado para registrar reclamacao e tratar o caso.",Investigar/corrigir e retestar,8881,rag_claude,anthropic,2,0.99
3,Pagamento,Quais sao as formas de pagamento para pedido de revenda?,"Olá! Para pedidos de revenda trabalhamos com:  **Boleto:** 30, 60, 90 ou 120 dias **Cartão:** Até 6x sem juros  Qual seria o valor aproximado que você pretende investir no primeiro pedido? Assim consigo te orientar melhor sobre as condições.",PARCIALMENTE_UTIL,Faltou parte do criterio esperado: 2/3 termos.,Boleto em 30/60/90/120 e cartao em ate 6x sem juros.,Investigar/corrigir e retestar,8435,rag_claude,anthropic,5,0.99
4,Pagamento boleto,"No boleto, consigo prazo em 30, 60, 90 e 120 dias?","Sim, no boleto você tem as opções de 30, 60, 90 e 120 dias.  Qual valor você pretende investir para eu montar uma sugestão personalizada?",FRACA,"Resposta tocou parte do tema, mas faltou informacao essencial: 1/2 termos.","Sim, boleto em 30/60/90/120.",Investigar/corrigir e retestar,7600,rag_claude,anthropic,5,0.99
5,Pagamento cartao,Cartao parcela em quantas vezes sem juros?,Cartão pode parcelar em até 6x sem juros.  Qual valor você está pensando em investir para começar?,SATISFATORIA,Atendeu todos os criterios objetivos esperados.,Cartao em ate 6x sem juros.,,11501,rag_claude,anthropic,4,0.99
6,Prazo envio,Qual e o prazo de envio para pronta entrega e para producao?,"Para pronta entrega, o prazo é de 10 a 15 dias. Já para produção, são 30 dias.  Você tem interesse em algum produto específico que está pensando em trabalhar?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,Pronta entrega: 10 a 15 dias. Producao: 30 dias.,,8698,rag_claude,anthropic,2,0.99
7,Pronta entrega,"Se tiver pronta entrega, em quanto tempo o pedido costuma ser enviado?","Para produtos de pronta entrega, o envio acontece entre 10 a 15 dias após a confirmação do pedido.  Já tem algum modelo específico em mente ou gostaria que eu te ajude a montar uma seleção?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,Pronta entrega de 10 a 15 dias.,,8823,rag_claude,anthropic,5,0.99
8,Producao,"Quando o item entra em producao, qual prazo devo considerar?","Oi! Para itens que entram em produção, o prazo é de 30 dias.  Você já tem algum modelo específico em mente que gostaria de cotar?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,Producao em 30 dias.,,10504,rag_claude,anthropic,3,0.99
9,Suporte comercial,"Depois que eu comprar, a Classe ajuda a escolher mix e vender melhor?","Sim! A Classe tem equipe de suporte comercial que trabalha de forma continua e personalizada para ajudar você a escolher o mix ideal, organizar seu estoque inicial e vender melhor.  Nosso objetivo é colaborar com o seu sucesso nas vendas, sempre focando na sua lucratividade.  Qual tipo de negócio você tem em mente para trabalhar com a Classe?",FRACA,"Resposta tocou parte do tema, mas faltou informacao essencial: 2/4 termos.","Sim, suporte comercial continuo e personalizado para ajudar em mix, estoque e vendas.",Investigar/corrigir e retestar,8996,rag_claude,anthropic,5,0.99
10,Lucratividade sem investimento,Consigo simular retorno sem ainda saber quanto vou investir?,"Posso simular um cenário conforme o investimento que você pretende iniciar.  A Classe trabalha com multiplicador comercial de 2,3, então por exemplo: um investimento de R$ 2.000 pode representar potencial bruto de venda em torno de R$ 4.600, ou R$ 4.000 pode gerar cerca de R$ 9.200 em vendas brutas, sempre antes de custos, impostos, frete e variações de giro.  Qual valor você está pensando para começar?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"Dizer que pode simular conforme investimento pretendido e perguntar o valor inicial; citar multiplicador 2,3 sem prometer lucro.",,9851,rag_claude,anthropic,3,0.99
11,Lucratividade 2000,"Se eu investir R$ 2.000, qual potencial bruto de venda usando o markup da Classe?","Posso simular um cenário com investimento de R$ 2.000 usando o multiplicador 2,3 da Classe.  Esse investimento pode representar potencial bruto de venda em torno de R$ 4.600, antes de custos, impostos, frete, taxas e variações de giro.  Qual perfil de produtos mais te interessa para esse primeiro pedido?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"Com multiplicador 2,3, R$ 2.000 pode representar cerca de R$ 4.600 de venda bruta, sem lucro garantido.",,66341,rag_claude,anthropic,4,0.99
12,Lucratividade 4000,"Com R$ 4.000 de pedido inicial, qual seria um exemplo de retorno bruto pelo multiplicador 2,3?","Com R$ 4.000 de investimento inicial usando o multiplicador 2,3, o retorno bruto seria de R$ 9.200.  Isso significa R$ 5.200 de margem bruta para trabalhar com custos operacionais e lucro líquido.  Você já tem experiência com vendas ou seria sua primeira loja? Isso me ajuda a explicar melhor como maximizar esse potencial.",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"R$ 4.000 x 2,3 = potencial bruto em torno de R$ 9.200, antes de custos e sem garantia.",,8866,rag_claude,anthropic,3,0.99
13,Lucratividade 6000,Um pedido de R$ 6.000 pode virar quanto em venda bruta estimada no multiplicador comercial?,"Com um investimento de R$ 6.000 e o multiplicador comercial 2,3, sua venda bruta estimada ficaria em torno de R$ 13.800.  Lembrando que esse é um cálculo base - o resultado real vai depender do seu mix de produtos, estratégia de precificação e perfil dos seus clientes.  Você já tem uma ideia de quais produtos gostaria de focar nesse pedido?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"R$ 6.000 x 2,3 = cerca de R$ 13.800 de potencial bruto, sem promessa de lucro garantido.",,9782,rag_claude,anthropic,3,0.99
14,Nota fiscal,A Classe emite meia nota ou somente nota cheia nesse canal?,"Para este canal Inside Sales, trabalhamos somente com nota cheia.  Isso garante total transparência e conformidade fiscal. Qual seria o investimento que você está considerando para começarmos a montar sua seleção de produtos?",INSATISFATORIA,Nao recuperou os elementos obrigatorios do material esperado.,Somente nota cheia; meia nota nao e oferecida nem aceita.,Investigar/corrigir e retestar,8670,rag_claude,anthropic,1,0.99
15,Meia nota,"Para fechar melhor, da para fazer meia nota?",Trabalhamos somente com nota cheia neste canal.  Isso garante total transparência e segurança para ambas as partes no processo comercial.  Qual seria o valor de investimento que você tem em mente para começarmos a montar sua seleção de produtos?,INSATISFATORIA,Nao recuperou os elementos obrigatorios do material esperado.,Nao. Trabalhamos somente com nota cheia e seguimos com o pedido regular.,Investigar/corrigir e retestar,7975,rag_claude,anthropic,5,0.99
16,Material,Todos os produtos sao de couro legitimo?,"Os produtos da Classe são desenvolvidos com foco na qualidade e cada modelo tem sua composição específica. Para confirmar o material exato de determinada referência, preciso verificar com você qual modelo te interessa.  Você já tem algum produto ou linha em mente? Assim posso te dar informações mais precisas sobre a composição.",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,Nao prometer genericamente; confirmar composicao por referencia/modelo e falar em qualidade.,,7518,rag_claude,anthropic,5,0.99
