id,tema,pergunta,fonte_esperada,objetivo
1,SAC e defeito,"Se um produto chegar com defeito, como funciona o SAC da Classe?",REGRAS_COMERCIAIS_CRITICAS_INSIDE_SALES_CLASSE.md,"Validar fluxo de SAC, fotos, fabrica e PIX."
2,Reclamacao,O cliente consegue registrar reclamacao por um canal de SAC personalizado?,REGRAS_COMERCIAIS_CRITICAS_INSIDE_SALES_CLASSE.md,Validar existencia de SAC exclusivo/personalizado.
3,Pagamento,Quais sao as formas de pagamento para pedido de revenda?,REGRAS_COMERCIAIS_CRITICAS_INSIDE_SALES_CLASSE.md,Validar boleto e cartao.
4,Pagamento boleto,"No boleto, consigo prazo em 30, 60, 90 e 120 dias?",REGRAS_COMERCIAIS_CRITICAS_INSIDE_SALES_CLASSE.md,Validar boleto 30/60/90/120.
5,Pagamento cartao,Cartao parcela em quantas vezes sem juros?,REGRAS_COMERCIAIS_CRITICAS_INSIDE_SALES_CLASSE.md,Validar cartao 6x sem juros.
6,Prazo envio,Qual e o prazo de envio para pronta entrega e para producao?,REGRAS_COMERCIAIS_CRITICAS_INSIDE_SALES_CLASSE.md,Validar prazos distintos.
7,Pronta entrega,"Se tiver pronta entrega, em quanto tempo o pedido costuma ser enviado?",REGRAS_COMERCIAIS_CRITICAS_INSIDE_SALES_CLASSE.md,Validar pronta entrega.
8,Producao,"Quando o item entra em producao, qual prazo devo considerar?",REGRAS_COMERCIAIS_CRITICAS_INSIDE_SALES_CLASSE.md,Validar prazo producao.
9,Suporte comercial,"Depois que eu comprar, a Classe ajuda a escolher mix e vender melhor?",REGRAS_COMERCIAIS_CRITICAS_INSIDE_SALES_CLASSE.md,Validar suporte comercial continuo.
10,Lucratividade sem investimento,Consigo simular retorno sem ainda saber quanto vou investir?,REGRAS_COMERCIAIS_CRITICAS_INSIDE_SALES_CLASSE.md,Validar que investiga investimento antes de simular.
11,Lucratividade 2000,"Se eu investir R$ 2.000, qual potencial bruto de venda usando o markup da Classe?",REGRAS_COMERCIAIS_CRITICAS_INSIDE_SALES_CLASSE.md,"Validar markup 2,3 e exemplo 4600."
12,Lucratividade 4000,"Com R$ 4.000 de pedido inicial, qual seria um exemplo de retorno bruto pelo multiplicador 2,3?",REGRAS_COMERCIAIS_CRITICAS_INSIDE_SALES_CLASSE.md,Validar exemplo 9200.
13,Lucratividade 6000,Um pedido de R$ 6.000 pode virar quanto em venda bruta estimada no multiplicador comercial?,REGRAS_COMERCIAIS_CRITICAS_INSIDE_SALES_CLASSE.md,Validar exemplo 13800.
