id,tema,pergunta,resposta_resumida,classificacao,justificativa,resposta_ideal_esperada,latencia_ms,rota,provider,rag_linhas,rag_top_score
2,Reclamacao,O cliente consegue registrar reclamacao por um canal de SAC personalizado?,"Sim! A Classe possui um canal exclusivo e personalizado de SAC onde o cliente pode registrar reclamações.  Se for defeito no produto, o processo é bem simples: cliente envia fotos pelo SAC, se houver indício de defeito pelas fotos, envia o produto para fábrica, e sendo confirmado o defeito, 100% do valor investido naquele item retorna via PIX.  Você tem alguma situação específica que precisa resolver pelo SAC?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"Sim, a Classe possui SAC exclusivo e personalizado para registrar reclamacao e tratar o caso.",8077,rag_claude,anthropic,2,0.99
3,Pagamento,Quais sao as formas de pagamento para pedido de revenda?,Para revenda trabalhamos com boleto parcelado em 30/60/90/120 dias e cartão de crédito em até 6x sem juros.  Qual seria o valor aproximado que você pretende investir no primeiro pedido?,SATISFATORIA,Atendeu todos os criterios objetivos esperados.,Boleto em 30/60/90/120 e cartao em ate 6x sem juros.,7424,rag_claude,anthropic,5,0.99
4,Pagamento boleto,"No boleto, consigo prazo em 30, 60, 90 e 120 dias?","Sim, exato! No boleto você consegue parcelar em 30/60/90/120 dias.  Também temos a opção de cartão em até 6x sem juros, caso prefira.  Qual valor você pretende investir para eu te ajudar com algumas sugestões de mix?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"Sim, boleto em 30/60/90/120.",7150,rag_claude,anthropic,5,0.99
9,Suporte comercial,"Depois que eu comprar, a Classe ajuda a escolher mix e vender melhor?","Sim! A Classe tem equipe de suporte comercial pronta para colaborar com o seu sucesso. O atendimento é contínuo e personalizado.  Ajudamos você a escolher mix, organizar estoque inicial, vender melhor e buscar lucratividade. É um suporte completo para você ter segurança no seu negócio.  Qual tipo de produto você tem mais interesse para começar?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"Sim, suporte comercial continuo e personalizado para ajudar em mix, estoque e vendas.",9162,rag_claude,anthropic,5,0.99
14,Nota fiscal,A Classe emite meia nota ou somente nota cheia nesse canal?,"Para este canal Inside Sales, a Classe emite somente nota cheia.  Trabalhamos exclusivamente com nota fiscal completa para garantir transparência total na operação. Qual produto tem interesse para começarmos uma cotação?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,Somente nota cheia; meia nota nao e oferecida nem aceita.,7038,rag_claude,anthropic,1,0.99
15,Meia nota,"Para fechar melhor, da para fazer meia nota?",Trabalhamos somente com nota cheia aqui no canal Inside Sales.  Isso nos permite manter a qualidade do atendimento e garantir que você tenha todo o suporte comercial necessário para revender com segurança.  Qual seria o valor que você pretende investir para começarmos a montar sua primeira compra?,SATISFATORIA,Atendeu todos os criterios objetivos esperados.,Nao. Trabalhamos somente com nota cheia e seguimos com o pedido regular.,7411,rag_claude,anthropic,5,0.99
21,Book carteira,"No book, a CTF396 carteira aparece com quais valores de PV e PVL?","A CTF396 carteira tem:  **PV: R$ 69,40 – PVL: R$ 159,90**  Disponível nas cores: PRETO 38, TAN 38 e CHOCOLATE 38.  Essa referência te interessou? Quer que eu te passe mais informações sobre outras carteiras ou você gostaria de saber sobre alguma categoria específica?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"CTF396 PV R$69,40 e PVL R$159,90.",8802,rag_claude,anthropic,4,0.99
27,Ranking kits,Qual kit aparece como destaque no ranking comercial?,"Olhando o ranking comercial de inverno, o **KIT02 173** (KIT 02 SOCIAL CB) está em destaque na 1ª posição dos kits com 747 vendas.  Logo em seguida vem o **MINI KIT 173** (MINI KIT SOCIAL SB) em 2º lugar com 710 vendas.  Você tem interesse em trabalhar com esses kits de maior giro ou quer conhecer outras opções da nossa linha?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,KIT02 173 aparece em destaque com 747.,38991,rag_claude,anthropic,5,0.99
31,B2B acesso,"Depois que o cadastro estiver liberado, como funcionam login e senha do portal B2B?","Depois que o cadastro for liberado, é bem simples:  **Login:** seu CNPJ completo (com os 14 dígitos) **Senha inicial:** os 8 primeiros dígitos do seu CNPJ  Depois do primeiro acesso, você pode alterar a senha se quiser. O portal é bem intuitivo para navegar e fazer os pedidos.  Você já tem CNPJ ativo para darmos continuidade ao seu cadastro?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,Login e o CNPJ completo; senha sao os 8 primeiros digitos do CNPJ.,8637,rag_claude,anthropic,5,0.99
32,Book envio,Quando faz sentido enviar o book de vendas para o lead?,"O book de vendas deve ser enviado quando o lead demonstra interesse comercial qualificado, ou seja:  **Momentos ideais:** - Lead confirma interesse em revender produtos Classe - Pergunta sobre linhas, modelos ou valores específicos - Quer conhecer melhor o portfólio para decidir - Já tem loja física/online e está avaliando fornecedores  **Não envie quando:** - Lead só fez pergunta pontual sobre um produto - Ainda está em dúvidas básicas sobre a marca - Não confirmou interesse em revenda  O script sugere: ""Estou te reenviando agora o nosso BOOK DE VENDAS da coleção para facilitar sua análise. N",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"Apos pre-cadastro/validacao, enviar o book como proximo passo de analise comercial.",13101,rag_claude,anthropic,5,0.99
35,Seguranca comercial,Que argumentos objetivos posso usar para ter seguranca em comprar da Classe para revender?,"Olha, os principais argumentos que dou pros nossos revendedores são:  **Operacional:** Pronta entrega de 10 a 15 dias, produção em até 30 dias, e temos SAC exclusivo - qualquer defeito comprovado por foto, mandamos pra fábrica e se confirmado, 100% do valor volta via PIX.  **Financeiro:** Pagamento flexível em boleto 30/60/90/120 dias ou cartão até 6x sem juros, markup comercial de 2,3 que permite boa margem, e suporte comercial contínuo pra te ajudar a montar mix e vender melhor.  **Suporte:** Atendimento personalizado pra escolha de produtos, organização de estoque inicial e estratégias de v",FRACA,"Resposta tocou parte do tema, mas faltou informacao essencial: 1/3 termos.","Citar mais de 30 anos, qualidade/design, rankings de giro e suporte comercial.",14324,rag_claude,anthropic,5,0.99
36,Estoque inicial,Quero um estoque inicial com giro. Quais categorias fazem sentido combinar?,"Perfeito! Para sugerir as categorias de maior giro, as principais que combinam bem são:  **Bolsas** (carteiras, pochetes, bolsas transversais) - alta rotatividade **Cintos e ** - produto essencial com reposição constante **Carteiras** - categoria básica com giro garantido  Essas 3 categorias formam um mix equilibrado e atendem perfis diferentes do seu público.  Quanto você está pensando em investir inicialmente? Com essa informação posso sugerir uma composição mais assertiva e até mostrar nossa vitrine de referência.",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"Combinar bolsas/crossbody com carteiras, cintos e acessorios de giro.",10315,rag_claude,anthropic,5,0.99
37,Objecao preco,"Antes de passar dados, consigo entender se os valores do book fazem sentido para revenda?","Claro! É exatamente por isso que enviamos o book primeiro.  Os valores mostrados são os preços para revenda (já com desconto atacadista). Para calcular sua margem, você multiplica por 2,3 - que é o markup comercial padrão do setor.  Exemplo: se um produto está R$ 50 no book, você venderia por cerca de R$ 115, dando uma margem boa para trabalhar.  Quanto você está pensando em investir inicialmente? Assim posso te orientar melhor sobre quais categorias fariam mais sentido para o seu perfil.",INSATISFATORIA,Nao recuperou os elementos obrigatorios do material esperado.,"Explicar que o book traz PV/PVL e dar exemplo curto, perguntando categoria de interesse.",9128,rag_claude,anthropic,5,0.99
40,Sem lucro garantido,"Posso contar que vou lucrar com certeza usando o markup 2,3?","Não posso garantir lucro, isso depende de vários fatores como sua gestão, localização, concorrência e estratégia de vendas.  O markup 2,3 é uma referência comercial baseada na experiência do mercado, mas cada negócio tem suas particularidades.  Quanto você pretende investir inicialmente? Assim posso simular alguns cenários para você avaliar.",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"Nao prometer lucro garantido; usar 2,3 como potencial bruto e considerar custos/giro.",8158,rag_claude,anthropic,2,0.99
